iter	Passed	Remaining
0	147	147232
1	150	75282
2	154	51408
3	158	39467
4	162	32248
5	165	27367
6	168	23874
7	172	21343
8	176	19415
9	179	17800
10	183	16476
11	187	15464
12	191	14514
13	194	13702
14	198	13007
15	201	12420
16	205	11878
17	208	11393
18	212	10953
19	215	10579
20	219	10234
21	223	9928
22	227	9644
23	230	9372
24	233	9122
25	237	8882
26	240	8667
27	243	8470
28	247	8292
29	251	8129
30	255	7980
31	259	7846
32	263	7713
33	267	7597
34	271	7483
35	275	7383
36	279	7263
37	282	7163
38	286	7053
39	290	6966
40	294	6877
41	297	6789
42	300	6698
43	304	6625
44	308	6538
45	311	6468
46	315	6399
47	319	6330
48	322	6260
49	326	6203
50	340	6344
51	386	7049
52	409	7325
53	412	7226
54	416	7151
55	419	7071
56	421	6968
57	426	6919
58	431	6887
59	436	6845
60	439	6770
61	442	6689
62	446	6643
63	449	6567
64	451	6489
65	453	6415
66	455	6345
67	458	6277
68	460	6218
69	463	6152
70	465	6089
71	467	6031
72	470	5981
73	473	5924
74	475	5867
75	477	5811
76	480	5753
77	482	5698
78	484	5645
79	486	5591
80	488	5546
81	490	5495
82	492	5437
83	494	5393
84	496	5341
85	498	5298
86	500	5247
87	501	5199
88	503	5151
89	504	5104
90	506	5055
91	507	5013
92	509	4969
93	511	4926
94	513	4890
95	515	4855
96	517	4822
97	574	5285
98	575	5241
99	597	5375
100	599	5336
101	628	5535
102	630	5492
103	632	5447
104	635	5416
105	638	5383
106	640	5343
107	642	5309
108	645	5278
109	648	5249
110	652	5229
111	664	5268
112	666	5233
113	668	5193
114	670	5157
115	673	5129
116	674	5091
117	676	5058
118	678	5024
119	680	4991
120	683	4962
121	684	4924
122	685	4889
123	689	4871
124	693	4853
125	694	4820
126	696	4784
127	727	4952
128	728	4920
129	731	4895
130	733	4865
131	735	4834
132	736	4803
133	738	4772
134	740	4742
135	741	4713
136	744	4687
137	747	4669
138	749	4641
139	750	4613
140	753	4588
141	754	4557
142	757	4540
143	783	4659
144	785	4631
145	787	4604
146	788	4578
147	791	4557
148	793	4530
149	794	4504
150	797	4486
151	799	4462
152	801	4439
