iter	Passed	Remaining
0	149	149055
1	155	77637
2	159	53094
3	162	40566
4	167	33236
5	168	27982
6	170	24228
7	172	21401
8	174	19189
9	175	17415
10	177	15963
11	179	14741
12	180	13706
13	181	12810
14	183	12027
15	184	11328
16	185	10719
17	186	10179
18	187	9692
19	188	9249
20	189	8851
21	190	8488
22	191	8152
23	192	7847
24	193	7565
25	194	7302
26	195	7061
27	196	6836
28	197	6623
29	199	6434
30	200	6276
31	202	6114
32	203	5957
33	204	5806
34	205	5668
35	207	5544
36	207	5411
37	208	5285
38	209	5164
39	210	5051
40	211	4942
41	212	4856
42	213	4761
43	214	4667
44	215	4577
45	216	4490
46	217	4407
47	218	4327
48	219	4256
49	220	4195
50	221	4125
51	222	4056
52	223	3989
53	224	3926
54	224	3865
55	225	3808
56	226	3751
57	227	3696
58	228	3643
59	229	3591
60	230	3541
61	230	3493
62	231	3447
63	232	3401
64	233	3357
65	235	3329
66	236	3288
67	237	3248
68	237	3208
69	238	3170
70	239	3133
71	240	3098
72	241	3063
73	242	3028
74	242	2995
75	243	2962
76	244	2931
77	245	2899
78	246	2869
79	246	2839
80	247	2810
81	248	2786
82	249	2761
83	250	2735
84	251	2708
85	252	2683
86	253	2663
87	254	2642
88	255	2620
89	256	2598
90	257	2576
91	258	2554
92	259	2533
93	260	2513
94	261	2493
95	262	2473
96	265	2467
97	266	2448
98	267	2430
99	268	2412
100	269	2394
101	270	2377
102	270	2359
103	271	2342
104	272	2326
105	273	2309
106	274	2294
107	275	2278
108	276	2263
109	277	2247
110	279	2242
111	281	2227
112	281	2213
113	282	2198
114	283	2184
115	284	2170
116	285	2155
117	286	2141
118	287	2128
119	288	2114
120	289	2103
121	290	2090
122	291	2078
123	292	2066
124	295	2065
125	295	2052
126	296	2039
127	297	2026
128	298	2014
129	299	2001
130	299	1989
131	300	1977
132	301	1966
133	302	1955
134	303	1945
135	304	1934
136	305	1923
137	306	1911
138	306	1901
139	308	1893
140	309	1884
141	309	1872
142	310	1861
143	311	1851
144	312	1841
145	313	1831
146	313	1821
147	314	1812
148	315	1802
149	316	1793
150	317	1784
151	318	1775
152	319	1765
153	319	1757
154	320	1748
155	321	1740
156	323	1737
157	324	1728
158	325	1720
159	326	1711
160	326	1702
161	327	1694
162	328	1685
163	329	1677
164	329	1669
165	330	1661
166	331	1653
167	332	1646
168	333	1638
169	334	1631
170	334	1623
171	335	1616
172	336	1609
173	338	1606
174	339	1599
175	340	1592
176	340	1585
177	341	1578
178	342	1571
179	343	1564
180	344	1558
181	345	1551
182	346	1545
183	346	1538
184	347	1531
185	348	1525
186	349	1519
187	350	1513
188	351	1507
189	352	1504
190	353	1498
191	354	1492
192	355	1486
193	356	1480
194	357	1474
195	358	1468
196	358	1462
197	359	1457
198	360	1451
199	361	1445
200	362	1439
201	363	1434
202	364	1430
203	365	1425
204	366	1420
205	368	1422
206	370	1417
207	371	1413
208	372	1409
209	373	1405
210	374	1401
211	376	1399
212	378	1398
213	379	1393
214	380	1389
215	381	1384
216	383	1382
217	383	1377
218	384	1372
219	385	1367
220	386	1362
221	387	1357
222	388	1352
223	389	1347
224	389	1342
225	390	1337
226	391	1333
227	392	1328
228	393	1324
229	394	1319
230	394	1314
231	395	1310
232	396	1306
233	398	1304
234	399	1299
235	400	1295
236	400	1290
237	401	1286
238	402	1281
239	403	1277
240	404	1272
241	404	1268
242	405	1263
243	406	1259
244	407	1255
245	408	1251
246	409	1247
247	409	1243
248	410	1238
249	412	1237
250	413	1233
251	414	1229
252	415	1225
253	415	1221
254	416	1217
255	417	1213
256	418	1209
257	419	1205
258	420	1202
259	421	1198
260	421	1194
261	422	1190
262	423	1186
263	424	1183
264	425	1179
265	426	1175
266	427	1173
267	428	1170
268	429	1166
269	430	1162
270	430	1159
271	431	1155
272	432	1151
273	433	1148
274	434	1144
275	435	1141
276	435	1137
277	436	1134
278	437	1131
279	438	1127
280	439	1124
281	440	1120
282	442	1119
283	442	1116
284	443	1113
285	444	1109
286	445	1106
287	446	1102
288	447	1099
289	447	1096
290	448	1093
291	449	1089
292	450	1086
293	451	1083
294	452	1080
295	452	1077
296	453	1073
297	454	1070
298	455	1067
299	457	1066
300	458	1063
301	458	1060
302	459	1057
303	460	1054
304	461	1051
305	462	1048
306	463	1045
307	463	1042
308	464	1039
309	465	1036
310	466	1033
311	467	1030
312	468	1027
313	469	1024
314	469	1021
315	470	1019
316	472	1018
317	473	1015
318	474	1012
319	475	1009
320	475	1006
321	476	1003
322	477	1001
323	478	998
324	479	995
325	480	992
326	481	989
327	481	987
328	482	984
329	483	981
330	484	978
331	485	976
332	487	976
333	488	974
334	489	971
335	490	969
336	491	966
337	492	964
338	493	962
339	494	960
340	496	960
341	497	958
342	499	956
343	500	955
344	502	953
345	503	951
346	504	949
347	505	947
348	507	946
349	508	945
350	509	942
351	510	940
352	511	938
353	512	935
354	513	933
355	514	930
356	515	928
357	516	926
358	517	924
359	518	921
360	519	919
361	520	917
362	521	915
363	522	913
364	523	911
365	524	909
366	526	907
367	527	905
368	528	904
369	530	902
370	531	900
371	532	898
372	533	896
373	534	893
374	535	891
375	536	889
376	537	887
377	538	885
378	539	883
379	540	881
380	541	880
381	542	878
382	545	878
383	546	876
384	547	874
385	548	872
386	549	870
387	550	868
388	551	866
389	552	864
390	553	862
391	555	860
392	556	859
393	557	857
394	560	857
395	561	855
396	562	853
397	563	851
398	564	850
399	565	848
400	566	846
401	567	844
402	568	842
403	569	840
404	570	838
405	571	836
406	573	835
407	574	833
408	576	832
409	577	830
410	578	828
411	579	826
412	580	824
413	581	822
414	582	820
415	583	819
416	585	818
417	586	817
418	589	817
419	590	815
420	591	813
421	592	811
422	593	809
423	594	807
424	595	805
425	596	803
426	596	801
427	597	798
428	598	796
429	599	794
430	600	792
431	601	790
432	601	788
433	604	788
434	605	786
435	606	784
436	607	782
437	607	780
438	608	777
439	609	775
440	610	773
441	611	771
442	612	769
443	612	767
444	613	765
445	614	763
446	615	761
447	616	759
448	618	759
449	619	757
450	620	755
451	621	752
452	621	750
453	622	748
454	623	746
455	624	744
456	625	742
457	626	740
458	626	738
459	627	736
460	628	734
461	629	732
462	630	730
463	631	729
464	633	728
465	634	726
466	635	724
467	635	722
468	636	720
469	637	719
470	638	717
471	639	715
472	640	713
473	641	711
474	641	709
475	642	707
476	643	705
477	644	703
478	645	701
479	646	699
480	648	699
481	649	697
482	650	695
483	651	694
484	651	692
485	652	690
486	653	688
487	654	686
488	655	684
489	656	682
490	656	681
491	657	679
492	658	677
493	659	675
494	660	673
495	661	671
496	663	671
497	664	669
498	664	667
499	665	665
500	666	663
501	667	662
502	668	660
503	669	658
504	670	656
505	670	655
506	671	653
507	672	651
508	673	649
509	674	647
510	675	646
511	676	644
512	678	643
513	678	641
514	679	640
515	680	638
516	681	636
517	682	635
518	683	633
519	684	631
520	685	629
521	685	628
522	686	626
523	687	624
524	688	622
525	689	621
526	689	619
527	692	618
528	693	617
529	694	615
530	695	614
531	696	612
532	697	610
533	698	609
534	698	607
535	699	605
536	700	604
537	701	602
538	702	600
539	703	598
540	703	597
541	704	595
542	706	594
543	707	593
544	708	591
545	709	589
546	710	588
547	711	586
548	711	584
549	712	583
550	713	581
551	714	579
552	715	578
553	716	576
554	716	574
555	717	573
556	718	571
557	719	569
558	721	569
559	722	567
560	723	565
561	724	564
562	724	562
563	725	560
564	726	559
565	727	557
566	728	556
567	728	554
568	729	552
569	730	551
570	731	549
571	732	547
572	733	546
573	733	544
574	736	544
575	737	543
576	739	541
577	740	540
578	741	539
579	742	538
580	744	536
581	745	535
582	745	533
583	746	531
584	747	530
585	748	528
586	749	527
587	751	526
588	752	524
589	752	523
590	753	521
591	754	520
592	755	518
593	756	516
594	757	515
595	757	513
596	758	512
597	759	510
598	760	509
599	761	507
600	761	505
601	762	504
602	763	502
603	764	501
604	766	500
605	767	498
606	768	497
607	769	495
608	769	494
609	770	492
610	771	491
611	772	489
612	773	488
613	774	486
614	780	488
615	783	488
616	785	487
617	787	486
618	789	486
619	792	485
620	795	485
621	796	484
622	798	483
623	799	481
624	800	480
625	801	479
626	803	477
627	804	476
628	805	475
629	806	473
630	808	472
631	810	471
632	812	471
633	813	469
634	814	468
635	815	466
636	816	465
637	817	463
638	818	462
639	819	460
640	820	459
641	821	458
642	823	457
643	824	455
644	825	454
645	826	452
646	827	451
647	828	449
648	829	448
649	830	447
650	831	445
651	832	444
652	832	442
653	833	441
654	834	439
655	835	438
656	836	436
657	838	435
658	839	434
659	840	432
660	841	431
661	842	430
662	843	428
663	844	427
664	845	425
665	846	424
666	847	423
667	849	422
668	850	420
669	852	420
670	853	418
671	854	417
672	855	415
673	857	414
674	859	413
675	860	412
676	861	410
677	862	409
678	863	408
679	864	406
680	865	405
681	867	404
682	870	403
683	871	402
684	873	401
685	875	400
686	877	399
687	878	398
688	879	397
689	881	395
690	882	394
691	884	393
